# Date:     2022-12-06 07:16:37
# Database: ocvs
# Target:   smc_cepheids
# Query:    TRUE 
# Objects:  4951
# Columns:
# ID	Mode	RA	Decl	I	V	V_I	P_1	dP_1	T0_1	A_1	R21_1	phi21_1	R31_1	phi31_1	ID_OGLE_II	ID_OGLE_III	ID_OGLE_IV	ID_OTHER	REMARKS
OGLE-SMC-CEP-0001	F	5.032785	-74.548500	17.314	17.897	0.583	1.1282584	0.0000011	6000.95346	0.514	0.419	4.095	0.264	1.946	-99.99	SMC139.7.108	SMC714.16.74	-99.99	
OGLE-SMC-CEP-0002	1	5.172375	-74.516222	16.690	17.230	0.540	1.1354529	0.0000023	6000.03660	0.279	0.213	4.644	0.072	2.850	-99.99	SMC139.7.58	SMC714.15.107	-99.99	
OGLE-SMC-CEP-0003	1	5.269125	-73.770917	16.997	17.437	0.440	0.9562964	0.0000013	6000.56383	0.466	0.344	4.449	0.115	2.345	-99.99	SMC138.6.91	SMC708.10.3726	-99.99	
OGLE-SMC-CEP-0004	2	5.342745	-74.078639	17.294	17.679	0.385	0.5170802	0.0000028	6000.22086	0.064	0.000	-99.99	0.000	-99.99	-99.99	SMC138.8.88	SMC714.24.3308	-99.99	
OGLE-SMC-CEP-0005	F	5.474505	-72.372972	17.196	17.768	0.572	1.2874115	0.0000014	6000.07773	0.652	0.478	4.129	0.324	2.018	-99.99	SMC140.8.1021	SMC707.21.175	-99.99	
OGLE-SMC-CEP-0006	F	5.484840	-73.915528	17.120	17.770	0.650	1.4847727	0.0000037	6000.95008	0.243	0.359	4.237	0.154	2.309	-99.99	SMC138.6.115	SMC714.32.118	-99.99	
OGLE-SMC-CEP-0007	F	5.517795	-73.448667	17.124	-99.99	-99.99	1.3341989	0.0000147	6000.74032	0.485	0.426	4.185	0.297	2.203	-99.99	SMC135.7.69	SMC708.19.1648D	-99.99	
OGLE-SMC-CEP-0009	F	5.606670	-73.784306	16.814	17.384	0.570	1.6392327	0.0000017	6001.48216	0.806	0.501	4.132	0.370	2.134	-99.99	SMC138.6.129	SMC714.32.3373	-99.99	
OGLE-SMC-CEP-0010	F	5.622045	-73.904528	16.976	17.515	0.539	1.4426110	0.0000012	6000.73557	0.729	0.493	4.129	0.353	2.064	-99.99	SMC138.6.133	SMC714.32.120	-99.99	
OGLE-SMC-CEP-0011	F	5.627250	-73.126500	16.946	17.592	0.646	1.3935063	0.0000010	6001.17566	0.670	0.479	4.137	0.337	2.048	-99.99	SMC135.5.55	SMC707.04.62	-99.99	
OGLE-SMC-CEP-0012	1	5.627745	-73.424417	16.204	16.880	0.676	1.7742864	0.0000162	6001.34337	0.149	0.153	4.583	0.000	-99.99	-99.99	SMC135.7.41	SMC708.27.41	-99.99	
OGLE-SMC-CEP-0013	F	5.668500	-73.516833	15.976	16.630	0.654	2.9238729	0.0000066	6000.94403	0.562	0.505	4.554	0.312	2.862	-99.99	SMC135.8.39	SMC708.19.4229	AS Tuc	
OGLE-SMC-CEP-0014	F	5.704380	-73.840417	15.491	16.201	0.710	4.4165259	0.0000119	6002.77234	0.498	0.479	4.760	0.243	3.328	-99.99	SMC138.6.36	SMC714.32.3321	-99.99	
OGLE-SMC-CEP-0015	F	5.704785	-74.223083	16.656	17.312	0.656	1.8279108	0.0000020	6000.03298	0.720	0.501	4.209	0.383	2.226	-99.99	SMC139.5.2400	SMC708.02.3451	-99.99	
OGLE-SMC-CEP-0016	F	5.741160	-73.629639	15.335	15.961	0.626	4.8298084	0.0000231	6000.13031	0.570	0.366	5.002	0.197	3.240	-99.99	SMC138.5.33	SMC708.18.38	-99.99	
OGLE-SMC-CEP-0017	12	5.764785	-73.324083	17.266	17.867	0.601	0.7704964	0.0000016	6000.72454	0.245	0.229	3.835	0.102	1.627	-99.99	-99.99	SMC708.26.116	-99.99	
OGLE-SMC-CEP-0018	12	5.775420	-74.618444	17.286	17.750	0.464	0.7120661	0.0000083	6000.70697	0.038	0.000	-99.99	0.000	-99.99	-99.99	SMC139.7.1698	SMC714.14.76	-99.99	
OGLE-SMC-CEP-0019	F	5.791620	-73.523944	15.694	16.292	0.598	3.1148307	0.0000039	6001.89360	0.737	0.493	4.313	0.288	2.337	-99.99	SMC135.8.46	SMC708.18.5240	AT Tuc HV11216	
OGLE-SMC-CEP-0020	1	5.814540	-73.232833	17.308	17.887	0.579	0.8752545	0.0000021	6000.48702	0.299	0.285	4.336	0.060	2.260	-99.99	SMC135.6.178	SMC708.26.3628	-99.99	
OGLE-SMC-CEP-0021	1	5.837340	-73.602833	16.913	17.380	0.467	1.0916787	0.0000016	6000.52844	0.441	0.236	4.603	0.088	3.035	-99.99	SMC135.8.113	SMC708.18.188	-99.99	
OGLE-SMC-CEP-0022	1	5.892210	-73.399694	18.614	19.134	0.520	0.3136645	0.0000009	6000.24165	0.198	0.000	-99.99	0.088	-99.99	-99.99	SMC135.7.571	SMC708.26.387	-99.99	
OGLE-SMC-CEP-0023	F	5.917245	-73.399111	17.398	18.056	0.658	1.2951188	0.0000044	6000.84061	0.264	0.372	4.163	0.187	2.060	-99.99	SMC135.7.227	SMC708.26.169	-99.99	
OGLE-SMC-CEP-0024	F	5.920785	-73.763972	17.216	17.789	0.573	1.2256194	0.0000010	6000.45364	0.745	0.483	4.075	0.323	1.923	-99.99	SMC138.5.4391	SMC714.31.4861	-99.99	
OGLE-SMC-CEP-0025	1	5.921205	-73.438389	16.561	17.117	0.556	1.1897899	0.0000012	6000.61900	0.314	0.224	4.312	0.080	2.297	-99.99	SMC135.7.115	-99.99	-99.99	
OGLE-SMC-CEP-0026	F	5.933250	-73.382333	16.855	17.344	0.489	1.3036176	0.0000009	6000.72583	0.658	0.501	4.035	0.305	1.922	-99.99	SMC135.7.116	SMC708.26.92	-99.99	
OGLE-SMC-CEP-0027	1	5.970840	-74.114056	16.879	17.343	0.464	0.9296915	0.0000012	6000.29357	0.437	0.342	4.240	0.095	2.105	-99.99	SMC138.8.3772	SMC708.01.3896	-99.99	
OGLE-SMC-CEP-0028	F	6.004785	-73.597944	17.301	17.848	0.547	1.0925618	0.0000013	6000.43328	0.728	0.455	3.989	0.309	1.800	-99.99	SMC135.8.3234	SMC708.18.5265	-99.99	
OGLE-SMC-CEP-0029	F	6.030000	-73.940639	14.920	15.672	0.752	6.6913506	0.0000237	6004.65805	0.445	0.446	4.973	0.186	3.525	-99.99	SMC138.7.3934	SMC714.31.26	HV11112	
OGLE-SMC-CEP-0030	12	6.032340	-74.107500	17.592	18.074	0.482	0.6530454	0.0000015	6000.21795	0.356	0.291	4.000	0.113	2.123	-99.99	SMC138.8.3905	SMC714.23.3968	-99.99	
OGLE-SMC-CEP-0031	F	6.032670	-73.912639	16.942	17.562	0.620	1.5269121	0.0000015	6001.02764	0.638	0.487	4.195	0.352	2.167	-99.99	SMC138.6.4142	SMC714.31.153	-99.99	
OGLE-SMC-CEP-0032	F	6.043590	-73.442111	16.785	-99.99	-99.99	1.5432891	0.0000007	6000.69306	0.808	0.481	4.135	0.358	2.043	-99.99	SMC135.7.2904	SMC708.18.2216D	-99.99	
OGLE-SMC-CEP-0033	1	6.062460	-73.984639	16.995	17.487	0.492	0.8854177	0.0000010	6000.15641	0.393	0.308	4.105	0.101	1.906	-99.99	SMC138.7.4031	SMC714.31.112	-99.99	
OGLE-SMC-CEP-0034	1	6.077130	-73.015361	17.197	17.653	0.456	0.7178204	0.0000007	6000.22843	0.401	0.273	3.924	0.095	1.594	-99.99	SMC136.8.94	SMC707.03.110	-99.99	
OGLE-SMC-CEP-0035	F	6.084630	-73.924250	17.231	17.875	0.644	1.3378187	0.0000041	6001.10485	0.240	0.335	4.164	0.152	2.217	-99.99	SMC138.7.4041	SMC714.31.147	-99.99	
OGLE-SMC-CEP-0036	1	6.091830	-73.162083	17.370	17.944	0.574	0.8816684	0.0000031	6000.61514	0.305	0.266	4.454	0.089	2.522	-99.99	SMC135.5.2246	SMC708.26.3658	-99.99	
OGLE-SMC-CEP-0037	F	6.096660	-74.065167	17.053	17.687	0.634	1.5918392	0.0000207	6000.86763	0.447	0.462	4.298	0.270	2.388	-99.99	SMC138.7.4047	SMC714.23.1352D	-99.99	
OGLE-SMC-CEP-0038	F	6.140955	-73.040000	16.937	17.597	0.660	1.4737791	0.0000012	6000.79668	0.489	0.459	4.263	0.308	2.222	-99.99	SMC135.5.2187	SMC707.03.92	-99.99	
OGLE-SMC-CEP-0039	F	6.144045	-73.307611	15.916	16.550	0.634	2.8601644	0.0000031	6001.11910	0.726	0.536	4.424	0.337	2.635	-99.99	SMC135.6.2415	SMC708.26.70	AU Tuc	
OGLE-SMC-CEP-0040	F	6.227910	-73.993944	15.952	16.680	0.728	3.3838318	0.0000069	6000.71707	0.406	0.467	4.585	0.241	2.959	-99.99	SMC138.7.3979	SMC714.31.47	-99.99	
OGLE-SMC-CEP-0041	F	6.247035	-73.359750	15.341	16.033	0.692	4.6739541	0.0000094	6001.50305	0.565	0.492	4.692	0.272	3.170	-99.99	SMC135.7.2861	SMC713.16.39	-99.99	
OGLE-SMC-CEP-0042	F	6.282420	-73.320278	17.120	17.649	0.529	1.2258176	0.0000012	6000.98351	0.662	0.487	4.076	0.316	1.906	-99.99	SMC135.6.2472	SMC713.16.260	-99.99	
OGLE-SMC-CEP-0043	F	6.299415	-73.658833	17.493	18.092	0.599	1.0317372	0.0000013	6000.97479	0.527	0.393	3.870	0.279	1.481	-99.99	SMC138.5.4715	SMC708.17.365	-99.99	
OGLE-SMC-CEP-0044	1	6.301665	-73.835778	15.471	-99.99	-99.99	2.7562706	0.0000144	6000.57011	0.272	0.111	3.737	0.043	5.889	-99.99	SMC138.6.4043	SMC714.31.1536D	-99.99	
OGLE-SMC-CEP-0045	1	6.307380	-73.231444	17.457	17.925	0.468	0.7329782	0.0000009	6000.53749	0.440	0.380	4.231	0.113	2.082	-99.99	SMC135.6.2591	SMC713.16.4397	-99.99	
OGLE-SMC-CEP-0046	F	6.320340	-74.132639	16.583	17.220	0.637	1.9109710	0.0000019	6000.99405	0.662	0.517	4.229	0.368	2.387	-99.99	SMC138.8.3825	SMC714.22.3860	-99.99	
OGLE-SMC-CEP-0047	1	6.320670	-74.585972	17.118	17.754	0.636	0.9761106	0.0000030	6000.27917	0.192	0.211	4.267	0.054	2.343	-99.99	SMC139.2.142	SMC714.13.99	-99.99	
OGLE-SMC-CEP-0048	F	6.321750	-74.065861	16.901	17.473	0.572	1.3904256	0.0000163	6000.42615	0.911	0.476	4.279	0.348	2.355	-99.99	SMC138.7.4089	SMC714.22.1499D	-99.99	
OGLE-SMC-CEP-0049	F	6.335580	-73.594333	16.683	17.333	0.650	1.9378934	0.0000037	6000.80430	0.513	0.495	4.357	0.329	2.620	-99.99	SMC135.8.3202	SMC708.17.5592	-99.99	
OGLE-SMC-CEP-0050	1	6.345165	-73.181167	16.769	17.307	0.538	1.0042448	0.0000028	6000.64709	0.305	0.260	4.397	0.080	2.353	-99.99	SMC135.6.2480	SMC713.16.4324	-99.99	
OGLE-SMC-CEP-0051	1	6.356535	-74.167972	16.871	17.324	0.453	0.9097997	0.0000015	6000.90858	0.276	0.221	4.203	0.045	1.993	-99.99	SMC138.1.74	SMC714.22.3836	-99.99	
OGLE-SMC-CEP-0052	1	6.360630	-73.853944	16.273	16.893	0.620	1.7183866	0.0000053	6000.65670	0.246	0.115	4.890	0.033	4.203	-99.99	SMC138.3.50	SMC714.30.4997	-99.99	
OGLE-SMC-CEP-0053	F	6.365085	-73.808861	17.273	17.795	0.522	1.1450995	0.0000009	6001.04700	0.727	0.452	3.934	0.288	1.672	-99.99	SMC138.3.114	SMC714.30.5086	-99.99	
OGLE-SMC-CEP-0054	F	6.366000	-73.538500	17.052	17.647	0.595	1.4279698	0.0000015	6001.26445	0.598	0.478	4.188	0.336	2.154	-99.99	SMC135.8.3208	SMC708.17.5638	-99.99	
OGLE-SMC-CEP-0055	1	6.380910	-73.546500	15.521	16.046	0.525	2.3660686	0.0000073	6000.01831	0.237	0.084	4.299	0.000	-99.99	-99.99	SMC135.8.3141	SMC708.17.5526	-99.99	
OGLE-SMC-CEP-0056	1	6.381630	-73.582778	16.796	17.287	0.491	0.9859725	0.0000015	6000.80213	0.377	0.291	4.234	0.093	1.986	-99.99	SMC135.8.3210	SMC708.17.5602	-99.99	
OGLE-SMC-CEP-0057	1	6.393420	-74.223028	17.619	18.195	0.576	0.6977779	0.0000019	6000.45559	0.213	0.169	3.616	0.117	1.348	-99.99	SMC139.4.182	SMC714.22.303	-99.99	
OGLE-SMC-CEP-0058	1	6.396330	-73.621417	17.058	17.619	0.561	0.8820953	0.0000019	6000.50982	0.290	0.275	4.286	0.084	2.286	-99.99	SMC138.4.109	SMC708.17.212	-99.99	
OGLE-SMC-CEP-0059	1	6.452040	-73.191694	16.075	16.607	0.532	1.7517035	0.0000049	6001.06481	0.202	0.118	4.596	0.018	4.018	-99.99	SMC135.6.2433	SMC713.16.4259	-99.99	
OGLE-SMC-CEP-0060	F	6.489495	-74.244889	15.877	16.570	0.693	3.2138986	0.0000065	6000.60158	0.627	0.535	4.473	0.324	2.734	-99.99	SMC139.4.45	SMC714.22.58	AW Tuc HV11113	
OGLE-SMC-CEP-0061	F	6.508920	-73.924167	16.848	17.485	0.637	1.8351107	0.0000017	6000.26692	0.668	0.515	4.267	0.377	2.438	-99.99	SMC138.2.136	SMC714.30.188	-99.99	
OGLE-SMC-CEP-0062	F	6.525540	-73.899778	16.420	17.123	0.703	2.3832373	0.0000040	6002.00733	0.545	0.512	4.484	0.321	2.810	-99.99	SMC138.3.70	SMC714.30.97	-99.99	
OGLE-SMC-CEP-0063	2	6.527505	-73.690222	16.925	17.391	0.466	0.6806192	0.0000037	6000.17284	0.066	0.000	-99.99	0.000	-99.99	-99.99	SMC138.4.130	SMC708.17.135	-99.99	
OGLE-SMC-CEP-0064	1	6.531660	-73.951361	15.952	16.618	0.666	2.1514263	0.0000091	6001.39079	0.166	0.080	5.872	0.068	5.351	-99.99	SMC138.2.61	SMC714.30.77	-99.99	
OGLE-SMC-CEP-0065	1	6.534255	-73.955083	16.404	16.938	0.534	1.7373039	0.0000049	6000.40677	0.309	0.081	4.635	0.023	5.581	-99.99	SMC138.2.62	SMC714.30.75	-99.99	
OGLE-SMC-CEP-0066	1	6.537285	-73.928833	17.262	17.757	0.495	0.8380901	0.0000010	6000.33571	0.415	0.323	4.046	0.103	1.799	-99.99	SMC138.2.139	SMC714.30.184	-99.99	
OGLE-SMC-CEP-0067	F	6.547830	-73.625111	15.370	16.011	0.641	4.6594634	0.0000185	6003.77109	0.310	0.406	4.893	0.153	3.566	-99.99	SMC138.4.22	SMC708.17.31	-99.99	
OGLE-SMC-CEP-0068	1	6.565620	-73.961556	17.181	17.642	0.461	0.8446776	0.0000009	6000.76812	0.420	0.318	4.008	0.096	1.897	-99.99	SMC138.2.144	SMC714.30.155	-99.99	
OGLE-SMC-CEP-0069	F	6.577785	-73.540611	17.040	17.589	0.549	1.4714919	0.0000012	6001.32886	0.708	0.473	4.244	0.357	2.211	-99.99	SMC135.1.84	SMC708.17.5634	-99.99	
OGLE-SMC-CEP-0070	1	6.584535	-73.373361	17.640	18.185	0.545	0.6955673	0.0000014	6000.48111	0.280	0.249	3.805	0.123	1.579	-99.99	SMC135.2.183	SMC713.16.211	-99.99	
OGLE-SMC-CEP-0071	F	6.639840	-74.347889	17.264	17.836	0.572	1.3424824	0.0000015	6000.24907	0.680	0.454	4.222	0.340	2.129	-99.99	SMC139.4.2928	SMC714.22.83	-99.99	
OGLE-SMC-CEP-0072	F	6.681750	-73.543361	17.084	17.580	0.496	1.3247768	0.0000011	6001.21691	0.782	0.474	4.132	0.332	2.036	-99.99	SMC135.1.99	SMC708.17.5631	-99.99	
OGLE-SMC-CEP-0073	F	6.684210	-72.776444	17.252	17.821	0.569	1.0678978	0.0000007	6000.64134	0.636	0.411	3.932	0.288	1.638	-99.99	SMC136.7.3203	SMC707.10.137	-99.99	
OGLE-SMC-CEP-0074	F	6.694080	-73.111417	16.643	17.339	0.696	1.9208993	0.0000048	6001.70096	0.254	0.316	4.396	0.124	2.743	-99.99	SMC135.4.85	SMC707.02.60	-99.99	
OGLE-SMC-CEP-0075	12	6.767205	-73.860083	17.394	17.805	0.411	0.5429116	0.0000006	6000.50258	0.399	0.237	3.854	0.122	1.417	-99.99	SMC138.3.186	SMC714.30.5060	-99.99	
OGLE-SMC-CEP-0076	12	6.795255	-73.282861	17.672	18.138	0.466	0.6276618	0.0000039	6000.28240	0.154	0.085	3.442	0.000	-99.99	-99.99	SMC135.3.244	SMC713.15.4897	-99.99	
OGLE-SMC-CEP-0077	F	6.844125	-73.523333	17.381	17.988	0.607	1.1858528	0.0000021	6000.67872	0.409	0.417	4.119	0.259	1.999	-99.99	SMC135.1.272	SMC713.07.5971	-99.99	
OGLE-SMC-CEP-0078	F	6.852375	-73.265556	15.355	16.043	0.688	4.6677202	0.0000111	6002.48192	0.519	0.479	4.776	0.242	3.283	-99.99	SMC135.3.32	SMC713.15.4760	HV11218	
OGLE-SMC-CEP-0079	12	6.854880	-73.442750	17.705	-99.99	-99.99	0.5795210	0.0000006	6000.08202	0.255	0.101	-99.99	0.000	-99.99	-99.99	SMC135.2.288	SMC713.15.477D	-99.99	
OGLE-SMC-CEP-0081	1	6.864585	-73.933250	16.955	-99.99	-99.99	0.9652115	0.0000032	6000.53820	0.404	0.315	4.192	0.113	2.168	-99.99	SMC138.2.217	SMC714.30.563D	-99.99	
OGLE-SMC-CEP-0082	F	6.902670	-73.761444	15.324	16.092	0.768	5.2671440	0.0000386	6001.86847	0.282	0.372	5.040	0.097	3.835	-99.99	SMC138.4.5438	SMC714.29.6603	-99.99	
OGLE-SMC-CEP-0083	F	6.935295	-74.082028	16.203	16.734	0.531	2.6531081	0.0000034	6002.26902	0.779	0.513	4.668	0.309	2.991	-99.99	SMC138.1.4343	SMC714.21.4500	-99.99	
OGLE-SMC-CEP-0084	F	7.005540	-74.081417	17.195	17.870	0.675	1.3749662	0.0000035	6000.73595	0.289	0.389	4.203	0.203	2.212	-99.99	SMC138.1.4400	SMC714.21.4602	-99.99	
OGLE-SMC-CEP-0085	F	7.006995	-73.409833	16.529	17.201	0.672	2.2094268	0.0000029	6001.15584	0.526	0.501	4.460	0.300	2.753	-99.99	SMC135.2.158	SMC713.15.100	-99.99	
OGLE-SMC-CEP-0086	F1	7.022085	-73.554833	16.599	17.189	0.590	1.8208611	0.0000204	6000.84821	0.209	0.179	4.289	0.041	1.624	-99.99	SMC135.1.158	SMC713.07.5761	-99.99	
OGLE-SMC-CEP-0087	F	7.059750	-73.865611	16.934	17.547	0.613	1.3845974	0.0000011	6000.27170	0.681	0.489	4.127	0.337	2.064	-99.99	SMC138.3.5546	SMC714.29.6688	-99.99	
OGLE-SMC-CEP-0088	1	7.066335	-73.738278	16.254	16.789	0.535	1.5384619	0.0000034	6000.22597	0.323	0.201	4.226	0.025	3.558	-99.99	SMC138.4.5486	SMC713.07.49	-99.99	secondary period 0.967984 d
OGLE-SMC-CEP-0089	F	7.081215	-73.925722	17.549	18.186	0.637	1.0868823	0.0000023	6000.46896	0.354	0.385	4.107	0.228	1.887	-99.99	SMC138.2.5677	SMC714.29.511	-99.99	
OGLE-SMC-CEP-0090	F	7.102920	-72.476944	15.953	16.541	0.588	2.5754313	0.0000021	6001.11158	0.810	0.532	4.276	0.313	2.337	-99.99	SMC136.4.45	SMC707.18.44	-99.99	
OGLE-SMC-CEP-0091	1	7.104585	-74.145056	17.525	18.076	0.551	0.7397347	0.0000014	6000.30803	0.299	0.269	3.961	0.105	2.023	-99.99	SMC138.1.4571	SMC714.21.4718	-99.99	
OGLE-SMC-CEP-0092	F	7.113375	-70.852194	16.986	17.551	0.565	0.9788702	0.0000010	6000.82615	0.585	0.470	3.973	0.321	1.717	-99.99	SMC137.5.906	SMC706.28.62	-99.99	
OGLE-SMC-CEP-0093	1	7.116000	-74.796361	17.542	18.075	0.533	0.6854839	0.0000015	6000.48313	0.258	0.211	4.024	0.089	1.858	-99.99	SMC139.1.1684	SMC714.04.2443	-99.99	
OGLE-SMC-CEP-0094	12	7.124130	-74.649833	17.316	17.865	0.549	0.7629487	0.0000017	6000.29972	0.275	0.288	3.771	0.130	1.695	-99.99	SMC134.7.102	SMC714.12.81	-99.99	
OGLE-SMC-CEP-0095	F	7.126035	-74.384083	17.490	18.118	0.628	1.0554266	0.0000016	6000.24622	0.384	0.362	3.915	0.223	1.529	-99.99	SMC134.6.121	SMC714.12.3004	-99.99	
OGLE-SMC-CEP-0096	F	7.162245	-74.124972	17.183	17.821	0.638	1.3126397	0.0000013	6000.94721	0.449	0.457	4.164	0.273	2.031	-99.99	SMC138.1.4421	SMC714.21.4572	-99.99	
OGLE-SMC-CEP-0097	F	7.169085	-73.600083	16.729	17.367	0.638	1.7632717	0.0000033	6000.92175	0.366	0.430	4.290	0.243	2.474	-99.99	SMC135.1.4577	SMC713.07.5732	-99.99	
OGLE-SMC-CEP-0098	1	7.200045	-73.333917	17.015	17.463	0.448	0.8696358	0.0000012	6000.74709	0.423	0.327	4.103	0.108	1.862	-99.99	SMC135.2.3990	SMC713.15.147	-99.99	
OGLE-SMC-CEP-0099	1	7.200540	-74.367389	16.953	17.408	0.455	0.9589784	0.0000027	6000.43526	0.393	0.313	4.179	0.096	2.020	-99.99	SMC134.6.63	SMC714.21.69	-99.99	
OGLE-SMC-CEP-0100	1	7.218120	-73.665389	16.817	17.424	0.607	0.9361670	0.0000029	6000.92462	0.445	0.307	4.091	0.118	1.783	-99.99	SMC138.4.5603	SMC713.07.183	-99.99	
OGLE-SMC-CEP-0101	1	7.224840	-74.077472	16.917	17.375	0.458	0.9009229	0.0000012	6000.44356	0.427	0.328	4.149	0.106	1.879	-99.99	SMC138.1.4435	SMC714.21.4605	-99.99	
OGLE-SMC-CEP-0102	1	7.279170	-73.938111	16.873	17.359	0.486	0.9654619	0.0000014	6000.54859	0.368	0.300	4.277	0.080	1.964	-99.99	SMC138.2.5524	SMC714.29.201	-99.99	
OGLE-SMC-CEP-0103	F	7.287000	-72.886056	15.264	16.027	0.763	4.3041835	0.0000385	6004.10494	0.164	0.261	4.818	0.048	3.635	-99.99	SMC136.1.2896	SMC707.01.4050	-99.99	
OGLE-SMC-CEP-0104	F	7.324875	-74.329000	16.768	17.411	0.643	1.8393365	0.0000027	6000.22565	0.676	0.500	4.246	0.377	2.373	-99.99	SMC134.5.108	SMC714.21.89	-99.99	
OGLE-SMC-CEP-0105	F	7.331880	-74.050361	16.589	17.273	0.684	1.9968024	0.0000454	6001.55896	0.520	0.475	4.324	0.317	2.449	-99.99	SMC133.7.91	SMC714.29.54	-99.99	
OGLE-SMC-CEP-0106	1	7.335960	-73.829861	15.587	16.140	0.553	2.1324016	0.0000054	6001.14275	0.243	0.124	4.661	0.000	-99.99	-99.99	SMC138.3.5494	SMC714.29.6593	HV13009	
OGLE-SMC-CEP-0107	12	7.339125	-73.270194	17.344	17.808	0.464	0.7511088	0.0000011	6000.50347	0.360	0.308	3.966	0.091	2.105	-99.99	SMC135.3.3560	SMC713.14.6672	-99.99	
OGLE-SMC-CEP-0108	2	7.346580	-72.848222	17.290	17.664	0.374	0.5114033	0.0000036	6000.10817	0.071	0.000	-99.99	0.000	-99.99	-99.99	SMC136.2.2936	SMC713.23.5606	-99.99	
OGLE-SMC-CEP-0109	12	7.347795	-73.323722	17.670	18.123	0.453	0.5729044	0.0000009	6000.36951	0.351	0.209	3.840	0.133	1.276	-99.99	SMC135.3.3568	SMC713.14.508	-99.99	
OGLE-SMC-CEP-0110	F	7.348995	-73.950889	16.924	17.564	0.640	1.7066324	0.0000021	6000.93285	0.553	0.487	4.263	0.351	2.423	-99.99	SMC133.7.93	SMC714.29.193	-99.99	
OGLE-SMC-CEP-0111	1	7.361370	-70.979333	17.623	-99.99	-99.99	0.4260724	0.0000002	6000.16653	0.402	0.208	4.463	0.000	-99.99	-99.99	SMC137.4.73	SMC706.27.190D	-99.99	
OGLE-SMC-CEP-0112	1	7.371495	-74.061167	17.613	-99.99	-99.99	0.7728478	0.0000010	6000.62411	0.157	0.154	4.013	0.000	-99.99	-99.99	SMC133.7.192	SMC714.21.1678D	-99.99	
OGLE-SMC-CEP-0113	F	7.395705	-73.721278	16.586	17.211	0.625	1.8699798	0.0000015	6000.77600	0.757	0.529	4.178	0.374	2.333	-99.99	SMC138.4.5642	SMC713.06.154	-99.99	
OGLE-SMC-CEP-0114	1	7.410255	-73.467250	16.225	16.858	0.633	1.7598586	0.0000072	6001.05901	0.206	0.120	4.816	0.023	5.234	-99.99	SMC135.2.3929	SMC713.06.7133	-99.99	
OGLE-SMC-CEP-0115	1	7.418955	-73.495694	15.870	16.416	0.546	1.6976296	0.0000039	6001.56333	0.233	0.178	4.322	0.038	2.087	-99.99	SMC135.1.4531	SMC713.06.7113	-99.99	
OGLE-SMC-CEP-0116	F	7.436460	-73.770778	17.133	17.777	0.644	1.1369253	0.0000022	6000.36432	0.729	0.442	4.076	0.315	1.876	-99.99	SMC133.6.253	SMC714.28.7523	-99.99	
OGLE-SMC-CEP-0117	F	7.441455	-73.956750	14.238	15.034	0.796	10.5656969	0.0001518	6009.11619	0.360	0.131	0.040	0.139	6.273	-99.99	SMC133.7.3	SMC714.28.15	HV1323	
OGLE-SMC-CEP-0118	F	7.454955	-74.091722	16.006	16.607	0.601	2.7119408	0.0000043	6002.34255	0.797	0.540	4.279	0.322	2.343	-99.99	SMC133.8.35	SMC714.20.4534	HV11114	
OGLE-SMC-CEP-0119	1	7.477455	-73.483556	16.756	17.297	0.541	1.1824632	0.0000025	6000.53446	0.300	0.215	4.636	0.068	3.077	-99.99	SMC135.1.4632	SMC713.06.7247	-99.99	
OGLE-SMC-CEP-0120	F	7.488210	-74.014750	17.729	18.250	0.521	0.9546851	0.0000009	6000.80384	0.579	0.343	3.800	0.289	1.432	-99.99	SMC133.7.239	SMC714.28.345	-99.99	
OGLE-SMC-CEP-0121	F	7.537410	-73.403278	17.240	17.847	0.607	1.2230924	0.0000015	6001.10291	0.451	0.424	4.222	0.292	2.114	-99.99	SMC130.7.268	SMC713.14.150	-99.99	
OGLE-SMC-CEP-0122	F	7.549620	-73.735278	17.301	17.823	0.522	1.1576001	0.0000010	6000.52855	0.748	0.441	4.015	0.302	1.831	-99.99	SMC133.5.332	SMC713.06.144	-99.99	
OGLE-SMC-CEP-0123	F	7.567590	-73.419861	16.453	16.897	0.444	1.6000006	0.0000013	6000.67654	0.641	0.508	4.074	0.314	2.050	-99.99	SMC130.7.118	SMC713.14.132	-99.99	
OGLE-SMC-CEP-0124	12	7.580790	-74.494194	17.611	18.048	0.437	0.6215079	0.0000008	6000.24057	0.435	0.287	3.929	0.133	1.655	-99.99	SMC134.6.253	SMC714.11.3290	-99.99	
OGLE-SMC-CEP-0125	1	7.602375	-73.723278	16.280	16.928	0.648	1.8516439	0.0000089	6001.79861	0.172	0.088	5.151	0.024	4.143	-99.99	SMC133.5.65	SMC713.06.63	-99.99	
OGLE-SMC-CEP-0126	F	7.615035	-73.457278	17.211	17.683	0.472	1.3659716	0.0000006	6000.01645	0.575	0.459	4.078	0.230	2.338	-99.99	SMC130.7.133	SMC713.06.2767D	-99.99	
OGLE-SMC-CEP-0127	F	7.645410	-72.986083	17.015	17.591	0.576	1.2940584	0.0000015	6000.93371	0.494	0.442	4.242	0.283	2.167	-99.99	SMC131.8.79	SMC713.23.5361	-99.99	
OGLE-SMC-CEP-0128	1	7.658715	-73.833889	16.588	17.036	0.448	1.2538519	0.0000015	6000.74593	0.427	0.281	4.531	0.098	2.663	-99.99	SMC133.6.155	SMC714.28.7357	HV11222	
