# Date:     2022-12-06 07:46:39
# Database: ocvs
# Target:   smc_acep
# Query:    TRUE 
# Objects:  122
# Columns:
# ID	RA	Decl	I	V	V_I	P_1	dP_1	T0_1	A_1	R21_1	phi21_1	R31_1	phi31_1
OGLE-SMC-ACEP-073	16.878210	-71.367083	17.816	18.344	0.528	0.8853022	0.0000006	6000.19521	0.817	0.430	4.152	0.306	1.925
OGLE-SMC-ACEP-074	17.727210	-74.385722	18.239	18.910	0.671	0.8246316	0.0000015	6000.08039	0.358	0.314	4.184	0.239	1.908
OGLE-SMC-ACEP-075	18.256080	-72.637194	17.392	17.800	0.408	0.8034519	0.0000009	6000.45733	0.440	0.212	4.693	0.088	2.912
OGLE-SMC-ACEP-076	18.361620	-72.876222	17.560	18.112	0.552	1.2994758	0.0000013	6000.29243	0.664	0.480	4.340	0.365	2.446
OGLE-SMC-ACEP-077	19.248000	-68.529972	17.869	18.364	0.495	0.6711144	0.0000013	6000.47340	0.385	0.330	4.045	0.099	2.262
OGLE-SMC-ACEP-078	19.607370	-71.070333	17.510	18.005	0.495	1.3498545	0.0000014	6001.16838	0.928	0.530	4.393	0.357	2.536
OGLE-SMC-ACEP-079	19.856745	-72.308528	17.478	18.065	0.587	1.2583824	0.0000011	6000.01894	0.693	0.490	4.401	0.368	2.569
OGLE-SMC-ACEP-080	20.431920	-75.405472	17.495	18.082	0.587	0.9822964	0.0000007	6000.01072	0.786	0.428	4.198	0.310	1.991
OGLE-SMC-ACEP-081	20.530755	-71.529972	17.784	18.244	0.460	1.2563220	0.0000011	6000.16864	0.802	0.477	4.724	0.230	3.125
OGLE-SMC-ACEP-082	20.995710	-73.970750	17.136	17.705	0.569	1.7313225	0.0000017	6000.35070	0.809	0.510	4.679	0.318	2.959
OGLE-SMC-ACEP-083	21.057000	-70.929833	17.438	17.807	0.369	0.7920779	0.0000008	6000.47289	0.512	0.396	4.159	0.148	2.308
OGLE-SMC-ACEP-084	21.157755	-75.403611	17.770	18.247	0.477	0.7298337	0.0000013	6000.08797	0.502	0.393	4.310	0.121	2.389
OGLE-SMC-ACEP-085	21.653670	-72.616139	18.075	18.654	0.579	0.7993158	0.0000012	6000.16598	0.478	0.324	4.219	0.261	1.913
OGLE-SMC-ACEP-086	21.681165	-71.693861	18.389	18.939	0.550	0.7099410	0.0000008	6000.58212	0.647	0.370	4.237	0.286	1.951
OGLE-SMC-ACEP-087	21.845295	-76.193083	17.750	18.303	0.553	0.9233149	0.0000009	6000.54861	0.718	0.391	4.217	0.279	2.002
OGLE-SMC-ACEP-088	22.214625	-72.992528	17.590	18.176	0.586	1.4351889	0.0000023	6000.99881	0.642	0.499	4.654	0.301	2.957
OGLE-SMC-ACEP-089	23.059335	-72.709500	18.104	18.672	0.568	0.9119870	0.0000010	6000.79663	0.586	0.352	4.112	0.272	1.696
OGLE-SMC-ACEP-090	23.223000	-72.918111	17.375	17.788	0.413	0.7976316	0.0000010	6000.72565	0.502	0.355	4.532	0.105	2.404
OGLE-SMC-ACEP-091	23.448660	-77.656167	16.889	17.622	0.733	2.6725455	0.0000433	6001.59332	0.336	0.378	4.873	0.143	3.786
OGLE-SMC-ACEP-092	23.540955	-69.256361	17.303	17.853	0.550	1.4932295	0.0000073	6000.84690	0.701	0.526	4.511	0.370	2.821
OGLE-SMC-ACEP-093	23.782755	-71.571250	17.691	18.254	0.563	1.1247059	0.0000013	6000.54546	0.655	0.423	4.319	0.307	2.182
OGLE-SMC-ACEP-094	24.178125	-73.892778	18.253	18.720	0.467	0.6408519	0.0000019	6000.54471	0.332	0.166	3.100	0.105	0.395
OGLE-SMC-ACEP-095	25.275495	-74.623556	17.238	17.936	0.698	1.7298735	0.0000166	6000.10960	0.130	0.187	4.536	0.000	-99.99
OGLE-SMC-ACEP-096	27.588960	-69.885111	17.882	18.476	0.594	0.9920317	0.0000023	6000.53480	0.426	0.337	4.076	0.258	1.750
OGLE-SMC-ACEP-097	28.854255	-75.024833	17.760	18.263	0.503	0.5893943	0.0000008	6000.57822	0.470	0.362	4.096	0.122	2.255
OGLE-SMC-ACEP-098	29.328705	-74.236944	17.506	17.926	0.420	0.8462376	0.0000012	6000.31606	0.476	0.245	4.669	0.115	2.791
OGLE-SMC-ACEP-099	31.285290	-72.719694	17.751	18.315	0.564	0.8830871	0.0000008	6000.59696	0.642	0.410	4.203	0.272	1.981
OGLE-SMC-ACEP-100	31.402755	-72.405528	17.405	17.908	0.503	0.8642139	0.0000007	6000.02430	0.680	0.369	3.964	0.285	1.563
OGLE-SMC-ACEP-101	32.709045	-72.802556	17.994	18.446	0.452	0.9715341	0.0000036	6000.73895	0.763	0.407	4.164	0.273	1.973
OGLE-SMC-ACEP-102	33.414660	-66.421389	17.347	17.904	0.557	0.9396136	0.0000098	6000.54619	0.408	0.325	4.173	0.078	1.747
OGLE-SMC-ACEP-103	33.540840	-72.675139	17.354	17.828	0.474	0.8249649	0.0000014	6000.12449	0.431	0.282	4.608	0.123	2.374
OGLE-SMC-ACEP-104	33.714045	-66.991778	17.197	17.654	0.457	0.8780260	0.0000050	6000.46944	0.571	0.248	4.038	0.308	1.301
OGLE-SMC-ACEP-105	37.593285	-79.140528	18.218	18.840	0.622	0.7559469	0.0000040	6000.74664	0.681	0.379	3.894	0.287	1.632
OGLE-SMC-ACEP-106	39.266040	-77.050778	17.425	18.096	0.671	1.5007656	0.0000524	6001.13907	0.234	0.304	4.277	0.101	2.755
OGLE-SMC-ACEP-107	40.366455	-73.812528	17.254	17.755	0.501	0.9317619	0.0000009	6000.37921	0.766	0.396	4.051	0.290	1.728
OGLE-SMC-ACEP-108	44.578920	-67.096333	18.000	18.589	0.589	0.9147562	0.0000043	6000.85822	0.771	0.400	4.205	0.324	1.956
OGLE-SMC-ACEP-109	46.185120	-66.187528	17.749	18.326	0.577	1.1701982	0.0000161	6000.43815	0.527	0.445	4.204	0.318	2.128
OGLE-SMC-ACEP-110	5.676210	-65.433806	18.142	18.826	0.684	1.0040078	0.0001610	6000.89869	0.399	0.489	4.205	0.275	2.108
OGLE-SMC-ACEP-111	9.725415	-72.273667	17.083	17.756	0.673	1.8668514	0.0000030	6001.28639	0.641	0.526	4.485	0.347	2.787
OGLE-SMC-ACEP-112	10.111335	-77.757667	17.567	18.106	0.539	1.6759177	0.0000206	6000.94887	0.454	0.455	4.572	0.226	2.853
OGLE-SMC-ACEP-113	11.084535	-69.142556	17.913	-99.99	-99.99	0.6228967	0.0000082	6000.39918	0.288	0.278	4.517	0.176	2.374
OGLE-SMC-ACEP-114	11.246670	-65.798111	17.926	18.441	0.515	0.6327240	0.0000018	6000.49116	0.375	0.319	3.999	0.126	2.251
OGLE-SMC-ACEP-115	12.121965	-77.287833	18.409	18.934	0.525	0.5309986	0.0000026	6000.48646	0.365	0.265	3.751	0.134	1.863
OGLE-SMC-ACEP-116	12.953160	-69.145278	17.819	-99.99	-99.99	0.9177722	0.0000120	6000.06012	0.909	0.454	4.100	0.180	2.221
OGLE-SMC-ACEP-117	24.322590	-72.227056	17.430	-99.99	-99.99	1.3424999	0.0000021	6000.79277	0.663	0.486	4.416	0.366	2.573
OGLE-SMC-ACEP-118	26.508045	-77.266278	17.807	18.297	0.490	0.6543701	0.0000034	6000.27563	0.451	0.319	4.119	0.109	2.543
OGLE-SMC-ACEP-119	28.582035	-70.630806	18.280	18.671	0.391	0.5470539	0.0000007	6000.37543	0.487	0.334	4.100	0.126	2.523
OGLE-SMC-ACEP-120	12.056085	-79.963556	17.981	18.316	0.335	0.5067412	0.0000034	7000.03978	0.487	0.327	3.978	0.109	1.667
OGLE-SMC-ACEP-121	12.820005	-68.984278	17.718	18.265	0.547	0.9945957	0.0000004	7000.42258	0.581	0.406	4.181	0.267	1.852
OGLE-SMC-ACEP-122	35.368620	-65.756250	17.386	17.768	0.382	0.8880902	0.0000092	7000.70816	0.275	0.182	4.903	0.069	3.139
